StationID,BenSampID,RepNum,FinalID,Individuals,Excluded Taxa,ID Comments,Taxonomist,Entered By,Entered Date
2-JKS023.61,FAMJKS1484,1,Baetidae,17,0,,GEORGEJ DEVLIN,WQM_DBA,7/5/2000 0:00
2-JKS023.61,FAMJKS1484,1,Chironomidae,18,0,,GEORGEJ DEVLIN,WQM_DBA,7/5/2000 0:00
2-JKS023.61,FAMJKS1484,1,Ephemerellidae,5,0,,GEORGEJ DEVLIN,WQM_DBA,7/5/2000 0:00
2-JKS023.61,FAMJKS1484,1,Isonychiidae,1,0,,GEORGEJ DEVLIN,WQM_DBA,7/5/2000 0:00
2-JKS023.61,FAMJKS1484,1,Simuliidae,5,0,,GEORGEJ DEVLIN,WQM_DBA,7/5/2000 0:00
2-JKS023.61,FAMJKS1484,1,Tricladida,2,0,,GEORGEJ DEVLIN,WQM_DBA,7/5/2000 0:00
2-JKS023.61,FAMJKS1484,1,Tubificidae,21,0,,GEORGEJ DEVLIN,WQM_DBA,7/5/2000 0:00
2-JKS023.61,FAMJKS1558,1,Chironomidae,14,0,,GEORGEJ DEVLIN,WQM_DBA,1/29/2001 0:00
2-JKS023.61,FAMJKS1558,1,Corbiculidae,9,0,,GEORGEJ DEVLIN,WQM_DBA,1/29/2001 0:00
2-JKS023.61,FAMJKS1558,1,Elmidae,1,0,,GEORGEJ DEVLIN,WQM_DBA,1/29/2001 0:00
2-JKS023.61,FAMJKS1558,1,Hydropsychidae,13,0,,GEORGEJ DEVLIN,WQM_DBA,1/29/2001 0:00
2-JKS023.61,FAMJKS1558,1,Planorbidae,5,0,,GEORGEJ DEVLIN,WQM_DBA,1/29/2001 0:00
2-JKS023.61,FAMJKS1558,1,Pleuroceridae,1,0,,GEORGEJ DEVLIN,WQM_DBA,1/29/2001 0:00
2-JKS023.61,FAMJKS1558,1,Simuliidae,161,0,,GEORGEJ DEVLIN,WQM_DBA,1/29/2001 0:00
2-JKS023.61,FAMJKS1558,1,Tricladida,7,0,,GEORGEJ DEVLIN,WQM_DBA,1/29/2001 0:00
2-JKS023.61,FAMJKS1600,1,Brachycentridae,1,0,,GEORGEJ DEVLIN,WQM_DBA,9/27/2001 0:00
